Parent Compound	Preferred Name	SMILES	Non-generic Scaffold SMILES	Non-generic Scaffold ID	Generic Scaffold SMILES	Generic Scaffold ID	MESH Indications
CHEMBL1566	ACARBOSE	C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O	C1=C[C@H](N[C@H]2CC[C@@H](O[C@H]3CC[C@@H](O[C@H]4CCCOC4)OC3)OC2)CCC1	SCAFFA1	C1CCC(CC2CCC(CC3CCC(CC4CCCCC4)CC3)CC2)CC1	SCAFFB1	Diabetes Mellitus, Type 2
CHEMBL20	ACETAZOLAMIDE	CC(=O)Nc1nnc(S(N)(=O)=O)s1	c1nncs1	SCAFFA2	C1CCCC1	SCAFFB2	Edema
CHEMBL1131	ACITRETIN	COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Psoriasis
CHEMBL1173655	AFATINIB	CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1	c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1	SCAFFA4	C1CCC(CC2CCCC3CC(CC4CCCC4)CCC23)CC1	SCAFFB4	Neoplasms
CHEMBL714	ALBUTEROL	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Bronchial Spasm
CHEMBL1639	ALISKIREN	COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC	c1ccccc1	SCAFFA3	C1CCCCC1	SCAFFB3	Stroke
CHEMBL1467	ALLOPURINOL	Oc1ncnc2[nH]ncc12	c1ncc2cn[nH]c2n1	SCAFFA5	C1CCC2CCCC2C1	SCAFFB5	Neoplasms
CHEMBL661	ALPRAZOLAM	Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	c1ccc(C2=NCc3nncn3-c3ccccc32)cc1	SCAFFA6	C1CCC(C2CCC3CCCC3C3CCCCC23)CC1	SCAFFB6	Anxiety Disorders
CHEMBL1111	AMBRISENTAN	COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O	c1ccc(C(COc2ncccn2)c2ccccc2)cc1	SCAFFA7	C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1	SCAFFB7	Familial Primary Pulmonary Hypertension
CHEMBL945	AMILORIDE	N=C(N)NC(=O)c1nc(Cl)c(N)nc1N	c1cnccn1	SCAFFA8	C1CCCCC1	SCAFFB3	Cardiovascular Diseases
