Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFB1	C1CCC(CC2CCC(CC3CCC(CC4CCCCC4)CC3)CC2)CC1	2	1.0
SCAFFB2	C1CCCC1	46	2.75
SCAFFB3	C1CCCCC1	46	10.0
SCAFFB4	C1CCC(CC2CCCC3CC(CC4CCCC4)CCC23)CC1	4	1.0
SCAFFB5	C1CCC2CCCC2C1	4	2.41666667
SCAFFB6	C1CCC(C2CCC3CCCC3C3CCCCC23)CC1	5	1.25
SCAFFB7	C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1	2	1.16666667
SCAFFB8	C1CCC(C2CCCCC2)CC1	4	2.83333333
SCAFFB9	C1CCC2CC3CCCC3CC2C1	10	1.33333333
SCAFFB10	C1CCC(CC2CCCC2)CC1	2	1.66666667
SCAFFB11	C1CCC(C2CCC(C3CCC4CCC(C5CCCCC5)C4C3)CC2)CC1	19	1.0
SCAFFB12	C1CCC(CCC2CCCC(CC3CCCC3)C2C2CCCCC2)CC1	23	1.0
SCAFFB13	C(CCC1CCC(C2CCCCC2)CC1)CCC1CCC2CCCCC2C1	1	1.0
SCAFFB14	C1CCC(CCC2CCCCC2)CC1	1	2.83333333
SCAFFB15	C1CCC(CCC2CCC(C3CCCCC3)C2C2CCCCC2)CC1	15	1.0
SCAFFB16	C1CCC(CC2CCC3C(CCC3CCC3CCCCC3)C2)CC1	7	1.0
SCAFFB17	C1CCC(CCCCC2CCCCC2)CC1	2	1.25
SCAFFB18	C1CCC(CCC2CC(C3CCCCC3)CCC2CC2CCCCC2)CC1	1	1.0
SCAFFB19	C1CCC(CCCCC2CCC3C(CC4CCCCC4)CCCC3C2)CC1	3	1.0
SCAFFB20	C1CCC2C(C1)CCC1C2CCC2C3CCCC3CC21	32	1.16666667
SCAFFB21	C1CCC(CC2CCCCC2)CC1	2	4.08333333
SCAFFB22	C1CC2CC3C(CC4CC4)CCC45C(CC(C1)C24)C1CCC35CC1	94	1.0
SCAFFB23	C1CCC(CCCCC2CC3CCC4CCC5CCC5C4C(CCC4CCCCC4)C(C2)C3)CC1	66	1.08333333
SCAFFB24	C1CCC(CCC2CCCC3CCCC32)CC1	3	1.41666667
SCAFFB25	C1CCC2CC3CCCCC3CCC2C1	10	1.75
