Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFA1	C1=C[C@H](N[C@H]2CC[C@@H](O[C@H]3CC[C@@H](O[C@H]4CCCOC4)OC3)OC2)CCC1	12	1.0
SCAFFA2	c1nncs1	179	1.0
SCAFFA3	c1ccccc1	121	10.0
SCAFFA4	c1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)ccc23)cc1	19	1.0
SCAFFA5	c1ncc2cn[nH]c2n1	347	1.0
SCAFFA6	c1ccc(C2=NCc3nncn3-c3ccccc32)cc1	48	1.23376623
SCAFFA7	c1ccc(C(COc2ncccn2)c2ccccc2)cc1	109	1.0
SCAFFA8	c1cnccn1	69	1.0
SCAFFA9	C1=CC(c2ccccc2)C=CN1	1	1.7012987
SCAFFA10	O=C1CN2Cc3ccccc3N=C2N1	346	1.0
SCAFFA11	c1ccc(Cn2cncn2)cc1	2	1.0
SCAFFA12	O=C1CCCCN1c1ccc(N2CCc3cnn(-c4ccccc4)c3C2=O)cc1	345	1.0
SCAFFA13	O=c1[nH]nc(CN2CCO[C@H](OCc3ccccc3)[C@@H]2c2ccccc2)[nH]1	185	1.0
SCAFFA14	O=C1CCc2ccc(OCCCCN3CCN(c4ccccc4)CC3)cc2N1	38	1.0
SCAFFA15	c1ccc(COc2ccccc2)cc1	2	1.23376623
SCAFFA16	O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1	4	1.0
SCAFFA17	C(=C/c1n[nH]c2cc(Sc3ccccc3)ccc12)\c1ccccn1	344	1.0
SCAFFA18	O=C(NCCc1ccccc1)c1cnccn1	37	1.0
SCAFFA19	O=S(=O)(Nc1nc(-c2ncccn2)ncc1Oc1ccccc1)c1ccccc1	6	1.0
SCAFFA20	c1ccc(Nc2ccnc3cc(OCCCN4CCNCC4)ccc23)cc1	19	1.0
SCAFFA21	O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3OCO[C@@H]3C[C@H]21	81	1.0
SCAFFA22	c1ccc(Oc2ccccc2)cc1	14	1.46753247
SCAFFA23	O=C(Nc1ccccc1)C1CCCCN1	4	1.0
SCAFFA24	c1cc2c3c(c1)O[C@H]1C4CCC5(CC4)[C@@H](C2)N(CC2CC2)CC[C@]315	25	1.0
SCAFFA25	O=C(CCc1ccccc1)O[C@@H]1C=C2CC(=O)C3CC[C@H]4OCC4[C@H]3[C@H](OC(=O)c3ccccc3)C(C2)C1	178	1.11688312
SCAFFA26	C=C1CCCC/C1=C/C=C1\CCCC2CCC[C@@H]12	173	1.35064935
SCAFFA27	C1CCNC1	36	1.0
SCAFFA28	C1=Cc2ccccc2Nc2ccccc21	184	1.0
SCAFFA29	O=C(CN1CCOCC1)N[C@@H](CCc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)C1CO1	13	1.0
SCAFFA30	c1ccc(N2CCN(CCC3CCCCC3)CC2)cc1	21	1.0
SCAFFA31		343	9.41558442
SCAFFA32	c1ccc(OCCNCCCOc2cccc3[nH]c4ccccc4c23)cc1	84	1.0
SCAFFA33	c1ccc(-c2ccnn2-c2ccccc2)cc1	87	1.0
SCAFFA34	c1ccc(C(c2ccccc2)N2CCNCC2)cc1	39	1.35064935
SCAFFA35	O=S1(=O)NC=Nc2ccccc21	183	1.11688312
SCAFFA36	c1ccc2c(c1)Nc1ccccc1S2	75	1.7012987
SCAFFA37	O=C1NC(c2ccccc2)c2ccccc21	1	1.0
SCAFFA38	c1c[nH]cn1	342	1.58441558
SCAFFA39	c1ccc(C2OCc3ccccc32)cc1	1	1.11688312
SCAFFA40	O=C1CC(=O)N(c2ccccc2)c2ccccc2N1	28	1.0
SCAFFA41	c1ccc(NC2=NCCN2)cc1	7	1.0
SCAFFA42	C1=C[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H](C1)O5	50	1.11688312
SCAFFA43	O=C1C=C2CC[C@H]3[C@@H]4CCCC4CC(=O)[C@@H]3C2CC1	11	1.0
SCAFFA44	c1ccc(COc2cncc(-c3cnn(C4CCNCC4)c3)c2)cc1	182	1.0
SCAFFA45	O=c1ncccn1[C@H]1CCCO1	31	1.0
SCAFFA46	c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1	181	1.11688312
SCAFFA47	c1ccc(CC2CCCCC2)cc1	2	1.46753247
SCAFFA48	O=C1C=CC2C(=C1)CC[C@@H]1C2CCC2CCC[C@H]21	11	1.23376623
SCAFFA49	c1ccc(Nc2ccccc2)cc1	4	1.23376623
SCAFFA50	O=C1C=CC2[C@H]3CCC4[C@@H](C(=O)Nc5ccccc5)CC[C@H]4[C@@H]3CC[C@H]2N1	86	1.0
SCAFFA51	O=C(CCc1ccccc1)N(Cc1ccccc1)Cc1ncc(-c2ccccc2)[nH]1	341	1.0
SCAFFA52	O=C1CN(c2ccccc2)C(=S)N1c1ccccc1	28	1.0
SCAFFA53	O=C1C=C2CC[C@H]3[C@@H]4CC[C@@]5(CCC(=O)O5)C4C[C@H]4O[C@]43C2CC1	180	1.0
SCAFFA54	C=C1C[C@@H]2CC[C@@]34C[C@H]5O[C@H]6[C@@H](O3)[C@H]3O[C@H](CC[C@@H]3O[C@H]6[C@H]5O4)CC(=O)C[C@@H]3CCO[C@H]3C[C@H]3O[C@H](CCC3=C)CC[C@@H]1O2	340	1.0
SCAFFA55	c1ccc(Nc2ncnc3ccccc23)cc1	7	1.0
SCAFFA56	O=C(O[C@H]1c2nccnc2C(=O)N1c1ccccn1)N1CCNCC1	339	1.0
SCAFFA57	O=C1CCC(=O)N1	20	1.0
SCAFFA58	c1ccc2c3c([nH]c2c1)COCC3	124	1.0
SCAFFA59	O=C1CCC=CCC(=O)C[C@@H](CCC2CCCCC2)OC(=O)[C@@H]2CCCCN2C(=O)C(=O)C2CCC[C@@H](CC/C=C/C=C/C=C/CCC1)O2	171	1.23376623
SCAFFA60	C=C1C[C@@H]2[C@H](CCC3C(=O)CC[C@H]32)C2C=CC(=O)C=C12	338	1.0
SCAFFA61	O=C(CCc1cnc[nH]1)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N1CCCC1	3	1.0
SCAFFA62	O=C1[C@H](CCCc2ccccc2)[C@@H](c2ccccc2)N1c1ccccc1	337	1.0
SCAFFA63	c1cscn1	179	1.11688312
SCAFFA64	c1ccc(-c2nccs2)cc1	16	1.0
SCAFFA65	c1ccc(CCN2CCC(Nc3ccccc3)CC2)cc1	30	1.0
SCAFFA66	O=C1C=CC2[C@H]3CCC4CCC[C@H]4[C@@H]3CC[C@H]2N1	11	1.0
SCAFFA67	c1ccc(-c2ccccc2)cc1	1	1.11688312
SCAFFA68	C1CC[C@@H](O[C@H]2CC[C@H](O[C@H]3CC[C@@H](O[C@H]4CC[C@H](O[C@H]5CCCOC5)OC4)OC3)OC2)OC1	12	1.0
SCAFFA69	c1ccc2c(c1)CC[C@@H]1[C@@H]2CCC2CCC[C@H]21	11	1.35064935
SCAFFA70	c1ccc(NCc2ccco2)cc1	120	1.0
